"","True Classifier","Fitted Classifier","n","k","K","Balancing index","Fitting time","MeanPrecision","MicroPrecision","MacroPrecision","MacroRecall","MacroFscore"
"139","ForMix","For","Small","Mid","Small",0.694915254237288,0.018002986907959,0.8,0.8,0.861111111111111,0.791666666666667,0.824929971988795
"140","ForMix","For","Small","Mid","Mid",0.0882352941176471,0.0209770202636719,0.92,0.68,NA,NA,NA
"141","ForMix","For","Mid","Small","Small",0.730103806228374,0.282023906707764,0.948,0.948,0.952070334656835,0.936682419012396,0.944313693154229
"142","ForMix","For","Mid","Small","Mid",0.581395348837209,0.326393127441406,0.953333333333333,0.86,0.858623007415588,0.851294710142513,0.854943155116713
"143","ForMix","For","Mid","Mid","Small",0.56,0.376023054122925,0.901333333333333,0.852,0.85285178718383,0.831943176173102,0.842267741851393
"144","ForMix","For","Mid","Mid","Mid",0.0421686746987952,0.560056924819946,0.942666666666667,0.656,NA,0.54564420038558,NA
"145","ForMix","Boo","Small","Small","Small",0.5625,18.5979900360107,1,1,1,1,1
"146","ForMix","Boo","Small","Small","Mid",0.196078431372549,17.133800983429,0.96,0.92,0.964285714285714,0.9,0.931034482758621
"147","ForMix","Boo","Small","Mid","Small",0.639344262295082,17.4629819393158,0.88,0.88,0.881410256410256,0.881410256410256,0.881410256410256
"148","ForMix","Boo","Small","Mid","Mid",0.157894736842105,17.8380608558655,0.87,0.48,NA,0.41875,NA
"149","ForMix","Boo","Mid","Small","Small",0.272264631043257,173.768729925156,0.952,0.952,0.945332480818414,0.905885780885781,0.925188855683101
"150","ForMix","Boo","Mid","Small","Mid",0.331034482758621,174.285542011261,0.970666666666667,0.912,0.910026085026085,0.898584605404529,0.904269155156102
"151","ForMix","Boo","Mid","Mid","Small",0.560859188544153,207.686226844788,0.904,0.856,0.857832427906615,0.85627503199967,0.857053022447321
"152","ForMix","Boo","Mid","Mid","Mid",0.0695652173913043,215.991281986237,0.922,0.532,NA,0.422986722495798,NA
"153","ForMix","SVM","Small","Small","Small",0.666666666666667,0.0319881439208984,0.92,0.92,0.919871794871795,0.919871794871795,0.919871794871795
"154","ForMix","SVM","Small","Small","Mid",0.0769230769230769,0.0320022106170654,0.8,0.6,0.525641025641026,NA,NA
"155","ForMix","SVM","Small","Mid","Small",0.538461538461538,0.0280017852783203,0.92,0.92,0.908088235294118,0.908088235294118,0.908088235294118
"156","ForMix","SVM","Small","Mid","Mid",0.125,0.0350029468536377,0.92,0.68,NA,NA,NA
"157","ForMix","SVM","Mid","Small","Small",0.173708920187793,0.0970199108123779,0.984,0.984,0.978349673202614,0.955996884735203,0.967044127563692
"158","ForMix","SVM","Mid","Small","Mid",0.278125,0.264021873474121,0.956,0.868,0.83755456145162,0.867439954891505,0.852235340396316
"159","ForMix","SVM","Mid","Mid","Small",0.462776659959759,0.216031074523926,0.896,0.844,0.843893258049338,0.83443272421136,0.839136327150453
"160","ForMix","SVM","Mid","Mid","Mid",0.120418848167539,0.370005130767822,0.953333333333333,0.72,0.727719876800759,0.701281862098592,0.714256304099486
"161","BooMix","Tree","Small","Small","Small",0.886792452830189,0.0210030078887939,1,1,1,1,1
